ID,Transect,cit_2,riv_2,vill_2,for_2,bft,mar,bm.D,hum_100m,PP_15_2,PP_30_2,sect_2,surv,effort_2,mean_effort_2,D_LT,D_CT,obs_LT,obs_CT,trans_1,cit_1,riv_1,vill_1,for_1,PP_15_1,PP_30_1,effort_1,sect_1,D_1,obs1,mean_effort_1,surv1
1,M1110-M1111,181214.5084,14309.61986,65565.88296,0.555555556,,,,,1,1,1,1,1077,1075.1,0,,0,-1,1,1.783086578,22874.28418,39895.87891,1,1,1,1034,1,0,1,1218.3,1
2,M111-M112,184289.4935,20161.03551,30786.98277,1,,,,,1,1,1,1,1000,1075.1,664.19,,1,-1,2,1.615880807,6922.47373,29712.61016,0.8,1,1,816,1,0,1,1218.3,1
3,M112-M113,189643.1077,23774.63564,34400.58284,1,,,,,1,1,1,1,1000,1075.1,132.84,,1,-1,3,1.651819617,9416.931669,32783.9815,1,1,1,2443,1,39.049,1,1218.3,1
4,M113-M114,195631.795,27900.92101,38526.86834,0.62962963,,,,,1,1,1,1,1000,1075.1,44.28,,1,-1,4,1.683829873,9663.494332,36374.83653,1,1,1,2070,1,15.36,1,1218.3,1
5,M114-M115,200364.7759,31880.44881,43412.13766,0.655172414,,,,,1,1,1,1,1072,1075.1,123.92,,1,-1,5,1.74870677,15605.00494,42015.35927,0.635917149,1,1,466,1,0,1,1218.3,1
6,M115-M116,195574.7536,28438.21742,48297.98758,0.607142857,,,,,1,1,1,1,1100,1075.1,0,,0,-1,6,1.761725328,16561.09801,43385.56641,0.727272727,1,1,1500,1,42.311,1,1218.3,1
7,M116-M117,190143.1124,24793.48076,52645.32986,0.555555556,,,,,1,1,1,1,1000,1075.1,44.28,,1,-1,7,1.784427206,18596.34766,45784.94063,0.8,1,1,616,1,0,1,1218.3,1
8,M117-M118,188534.0151,23433.63574,56954.46771,0.333333333,,,,,1,1,1,1,1100,1075.1,40.254,,1,-1,8,1.801153461,20008.91685,47299.94866,0.857142857,1,1,654,1,0,1,1218.3,1
9,M118-M119,184830.7578,19988.94908,63533.02748,0.285714286,,,,,1,1,1,1,1000,1075.1,0,,0,-1,9,1.739545096,17525.26602,40472.11172,1,1,1,1378,1,0,1,1218.3,1
10,M119-M1110,182223.9884,16708.74482,66321.44291,1,,,,,1,1,1,1,955,1075.1,0,,0,-1,10,1.706655449,14481.98828,37428.8342,1,1,1,773,1,0,1,1218.3,1
11,M12-M11,146662.4606,9462.286015,31796.27997,0.586206897,,,,,1,1,1,1,1042,1075.1,127.48,,1,-1,11,1.620979809,21030.54838,32912.38024,0.363636364,1,1,3174,1,61.598,1,1218.3,1
12,M1310-M139,196909.2726,19897.523,57867.4344,0.034482759,,,,,1,1,1,1,1047,1075.1,0,,0,-1,12,1.636894669,11491.05413,30817.30273,0.75,1,1,1071,1,0,1,1218.3,1
13,M1311-M1310,189163.3394,14454.41089,61620.88002,0.571428571,,,,,1,1,1,1,1080,1075.1,0,,0,-1,13,1.590615928,5982.552979,27483.73218,1,1,1,1115,1,0,1,1218.3,1
