id,visited1,visited2,observed_lt1,observed_re1,observed_lt2,observed_re2,observed_1,observed_2,x,y
1,1,1,1,1,1,-5,1,1,475409,9879074
2,0,1,-5,-5,0,-5,-5,0,475409,9873074
3,1,1,1,-5,1,-5,1,1,475409,9885074
4,0,1,-5,-5,0,-5,-5,0,496409,9879074
5,1,1,1,-5,0,-5,1,0,496409,9873074
6,1,1,1,-5,1,-5,1,1,496409,9867074
7,0,1,-5,-5,0,-5,-5,0,496409,9861074
8,1,1,0,-5,0,-5,0,0,489409,9867074
9,1,1,0,-5,1,-5,0,1,489409,9879074
10,1,1,1,-5,1,-5,1,1,489409,9873074
11,1,1,1,-5,1,-5,1,1,482409,9879074
12,1,1,1,-5,1,-5,1,1,482409,9873074
13,1,1,0,-5,0,-5,0,0,482409,9867074
14,1,1,1,0,0,-5,1,0,510409,9873074
15,0,1,-5,0,1,-5,0,1,510409,9867074
16,0,1,-5,-5,1,-5,-5,1,510409,9861074
17,0,0,-5,-5,-5,-5,-5,-5,503409,9879074
18,1,1,1,-5,1,-5,1,1,503409,9873074
19,1,1,1,-5,1,-5,1,1,503409,9867074
20,1,1,1,0,1,-5,1,1,503409,9861074
21,0,0,-5,-5,-5,-5,-5,-5,468409,9885074
22,0,0,-5,-5,-5,-5,-5,-5,496409,9885074
23,0,0,-5,-5,-5,-5,-5,-5,489409,9885074
24,0,0,-5,-5,-5,-5,-5,-5,510409,9879074
25,1,0,-5,1,-5,-5,1,-5,531409,9645074
26,1,0,-5,1,-5,-5,1,-5,524409,9645074
27,1,0,-5,0,-5,-5,0,-5,517409,9645074
28,1,0,-5,1,-5,-5,1,-5,545409,9645074
29,1,0,-5,1,-5,-5,1,-5,538409,9645074
30,0,0,-5,-5,-5,-5,-5,-5,503409,9645074
31,0,0,-5,-5,-5,-5,-5,-5,566409,9657074
32,0,0,-5,-5,-5,-5,-5,-5,559409,9651074
33,0,0,-5,-5,-5,-5,-5,-5,587409,9681074
34,0,0,-5,-5,-5,-5,-5,-5,580409,9675074
35,0,0,-5,-5,-5,-5,-5,-5,580409,9669074
36,1,1,1,1,0,0,1,0,531409,9711074
37,1,1,0,1,0,1,1,1,531409,9705074
38,1,1,-5,1,0,0,1,0,531409,9723074
39,1,1,-5,1,1,1,1,1,531409,9717074
40,1,1,0,1,0,0,1,0,531409,9687074
41,1,1,1,1,1,1,1,1,531409,9681074
42,1,1,0,1,1,0,1,1,531409,9699074
43,1,1,0,1,1,0,1,1,531409,9693074
44,1,1,1,1,0,1,1,1,531409,9663074
45,1,1,1,1,1,1,1,1,531409,9657074
46,1,1,1,1,1,0,1,1,531409,9675074
47,1,1,1,1,0,0,1,0,531409,9669074
48,1,1,-5,1,1,1,1,1,531409,9651074
49,1,1,-5,1,0,0,1,0,524409,9651074
50,0,1,-5,-5,0,-5,-5,0,524409,9735074
51,0,1,-5,-5,1,1,-5,1,524409,9729074
52,1,1,1,1,0,0,1,0,524409,9711074
53,1,1,1,1,0,0,1,0,524409,9705074
54,0,1,-5,-5,0,0,-5,0,524409,9723074
55,1,1,-5,1,-5,0,1,0,524409,9717074
56,1,1,1,1,0,0,1,0,524409,9687074
57,1,1,1,1,1,1,1,1,524409,9681074
58,1,0,1,1,-5,-5,1,-5,524409,9699074
59,1,1,1,1,0,0,1,0,524409,9693074
60,1,1,1,1,1,0,1,1,524409,9663074
61,1,1,1,1,0,1,1,1,524409,9657074
62,1,1,1,1,1,1,1,1,524409,9675074
63,1,1,0,1,0,0,1,0,524409,9669074
64,1,1,0,1,0,1,1,1,517409,9663074
65,1,1,0,0,0,0,0,0,517409,9657074
66,1,1,1,1,1,1,1,1,517409,9675074
67,1,1,1,1,1,1,1,1,517409,9669074
68,1,0,-5,0,-5,-5,0,-5,517409,9651074
69,0,1,-5,-5,0,1,-5,1,517409,9729074
70,1,0,1,1,-5,-5,1,-5,517409,9711074
71,1,1,1,1,0,0,1,0,517409,9705074
72,0,1,-5,-5,1,0,-5,1,517409,9723074
73,1,1,-5,1,0,1,1,1,517409,9717074
74,1,1,1,1,1,1,1,1,517409,9687074
75,1,1,1,1,1,1,1,1,517409,9681074
76,1,1,1,1,1,0,1,1,517409,9699074
77,1,1,0,1,0,0,1,0,517409,9693074
